RNA_N1	RNA_N2	RNA_N3	RNA_E5_1	RNA_E5_2	RNA_E5_3	RNA_L5_1	RNA_L5_2	RNA_L5_3	RNA_L21_1	RNA_L21_2	RNA_L21_3	RNA_L35_1	RNA_L35_2	RNA_L35_3
ENSMUSG00000001604	0	0	0	0	5	4	14	20	16	7	88	46	72	28	104
ENSMUSG00000001622	1	0	0	1	1	0	0	0	0	0	0	6	0	0	0
ENSMUSG00000001627	1156	898	747	896	858	618	493	557	573	405	402	252	587	595	578
ENSMUSG00000001630	1536	1944	875	789	810	422	922	1164	1413	673	718	1479	1310	752	821
ENSMUSG00000001632	963	1187	825	754	850	580	452	529	499	537	550	285	801	516	681
ENSMUSG00000001642	8405	10033	7926	8489	9391	10577	8176	11334	8569	6196	6330	5940	9020	5853	7283
ENSMUSG00000001655	0	0	0	1	2	0	0	0	0	0	0	0	3	0	2
ENSMUSG00000001656	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSMUSG00000001657	0	2	0	0	1	0	0	2	0	0	0	0	0	0	2
ENSMUSG00000001661	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001663	4	11	5	51	61	63	138	187	109	182	37	40	90	42	226
ENSMUSG00000001665	6	6	5	50	86	53	621	916	651	215	261	198	335	155	276
ENSMUSG00000001666	268	265	245	319	366	435	333	436	331	264	294	177	324	180	326
ENSMUSG00000001670	0	0	0	0	0	0	3	1	2	40	55	10	7	46	23
ENSMUSG00000001672	6	0	0	0	0	2	0	0	0	2	0	0	1	0	0
ENSMUSG00000001674	2831	3259	1771	1565	1786	1121	1996	2349	2066	1379	1292	2046	1887	1436	1937
ENSMUSG00000001687	2830	2433	1655	3383	3342	1555	1817	2360	2472	2913	3193	3675	3874	3178	3987
ENSMUSG00000001700	23808	19998	10915	29298	30055	19014	5071	6936	7026	394	1064	763	685	497	329
ENSMUSG00000001707	2533	2818	1936	1754	1693	2024	3394	3987	3419	1657	1686	1758	2206	1693	2426
ENSMUSG00000001729	640	695	588	966	874	1111	912	1098	1066	900	1188	906	1451	953	1326
ENSMUSG00000001739	6	2	0	1	2	5	1	12	7	0	24	31	34	7	34
ENSMUSG00000001741	16872	17451	12268	10961	12590	11560	3811	5963	4783	6753	6008	6128	11244	6255	8212
ENSMUSG00000001750	1245	1962	1117	1695	1939	1328	1249	1402	1289	1956	2776	1749	3332	2125	3312
ENSMUSG00000001751	293	312	514	237	158	269	332	411	396	262	369	119	263	284	235
ENSMUSG00000001755	1123	1230	1094	1258	1137	1326	1299	1638	1266	877	876	568	1114	1143	1137
ENSMUSG00000001761	87	63	20	9	5	2	5	11	7	0	10	2	1	0	13
ENSMUSG00000001763	1	2	1	11	16	19	3	0	1	11	15	22	15	1	17
ENSMUSG00000001767	3893	4820	1880	3903	3932	1972	2244	2754	3227	1882	1395	2275	2378	2270	2925
ENSMUSG00000001768	5	3	4	28	46	5	54	82	97	156	476	146	384	169	403
ENSMUSG00000001773	4	0	0	0	2	0	0	0	0	2	0	0	2	0	0
ENSMUSG00000001774	8411	6646	3048	5370	5695	3861	4370	5917	6830	3237	2159	4252	3293	3906	4835
ENSMUSG00000001783	9099	9313	7740	8280	8711	8244	7678	9639	7560	6951	6200	7899	10355	7054	7172
ENSMUSG00000001785	3063	3223	2408	2238	2181	1970	2928	3320	2731	1829	1949	1859	2888	2332	2747
ENSMUSG00000001786	1801	1684	1542	1591	1830	1875	1076	1507	1188	1183	1117	1078	1634	1113	1494
ENSMUSG00000001794	1317	1087	1061	2265	2147	2681	1863	2760	2140	2987	2944	3291	3376	3023	3478
ENSMUSG00000001802	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
ENSMUSG00000001804	1	0	0	2	0	1	0	0	0	0	3	0	0	0	0
ENSMUSG00000001815	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001819	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000001827	8	0	0	0	1	2	0	0	0	0	1	2	1	0	2
ENSMUSG00000001829	968	1073	652	563	622	1054	1076	1377	921	613	540	433	823	633	593
ENSMUSG00000001833	14314	20835	7883	18215	17002	8748	20285	27078	39077	12317	6301	15904	11282	14164	20804
ENSMUSG00000001844	1671	2150	1661	2343	2393	2074	1769	2011	1517	1831	1562	1841	3177	1783	2544
ENSMUSG00000001847	1173	977	689	1320	1260	918	1000	1194	1248	930	1069	1321	1300	899	1193
ENSMUSG00000001855	2542	3005	1647	1494	1768	1013	1111	1227	1367	1253	1122	1197	1751	1385	1748
ENSMUSG00000001864	4	3	2	4	4	11	58	48	45	9	3	4	15	0	6
ENSMUSG00000001865	47	69	41	37	47	24	21	8	15	17	160	56	127	8	61
ENSMUSG00000001870	30	15	8	20	7	17	1	1	0	0	14	4	6	0	10
ENSMUSG00000001891	800	877	547	960	1042	577	938	1226	1386	1490	1198	1524	1582	1530	1994
ENSMUSG00000001901	20	13	14	0	0	3	3	4	7	18	3	13	19	19	19
ENSMUSG00000001909	1987	2481	1808	1601	1779	1525	1297	1769	1465	894	1126	410	1108	1016	1114
ENSMUSG00000001910	414	357	294	416	438	433	528	644	661	594	592	373	710	628	859
ENSMUSG00000001911	148	169	147	19	30	17	13	27	15	21	98	26	52	14	102
ENSMUSG00000001918	3826	6306	3699	6403	6536	3776	6026	6444	7084	4744	5865	3466	7634	7567	7414
ENSMUSG00000001924	10046	8516	7888	9736	11119	12511	9233	11163	9553	6394	6253	4573	9760	7437	8083
ENSMUSG00000001930	79	12	1	29	24	24	1	9	1	7	59	26	34	9	46
ENSMUSG00000001942	1320	1408	667	844	903	606	632	948	912	703	706	752	1040	534	729
ENSMUSG00000001943	0	1	0	0	0	0	19	30	27	14	12	14	8	14	2
ENSMUSG00000001946	30	4	12	19	26	22	2	8	9	41	28	1	29	5	23
ENSMUSG00000001948	8	2	8	4	6	4	26	51	42	17	31	45	27	22	18
ENSMUSG00000001962	2986	3096	2093	2421	2540	1775	1803	2211	1915	2636	2090	2308	2544	2402	3180
ENSMUSG00000001964	762	548	519	969	840	1067	1431	1814	2194	883	905	1226	1010	1067	1441
ENSMUSG00000001983	282	373	221	336	359	392	353	409	336	240	283	238	386	289	345
ENSMUSG00000001985	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1
ENSMUSG00000001986	1205	1232	475	6	23	7	2	13	2	6	19	13	3	2	13
ENSMUSG00000001988	11	13	3	1	2	3	2	1	10	0	3	1	3	8	3
ENSMUSG00000001995	95	222	85	59	56	14	23	38	33	18	115	33	75	34	66
ENSMUSG00000001998	970	1249	432	682	766	389	358	407	592	331	288	383	384	515	606
ENSMUSG00000001999	1642	1901	1397	2892	3207	4151	2825	3756	2723	3037	3305	4740	4105	2618	4179
ENSMUSG00000002006	21	36	9	1	2	6	0	1	5	1	4	7	6	4	12
ENSMUSG00000002007	16	28	8	58	61	55	6	6	14	77	61	58	100	28	28
ENSMUSG00000002010	6316	6626	5189	6670	6555	8463	6761	9240	7292	4766	5567	4016	7087	4910	6615
ENSMUSG00000002012	79	91	101	6	13	4	11	20	2	43	8	34	48	58	31
ENSMUSG00000002014	4111	4619	3807	4250	4560	5355	4654	6219	4927	4009	4999	3455	5264	3989	5376
ENSMUSG00000002015	10187	9938	8233	10583	12313	14179	9890	12780	9450	9449	9361	10551	12238	8848	11965
ENSMUSG00000002017	735	812	409	548	666	509	657	841	812	531	458	346	573	537	543
ENSMUSG00000002020	2	5	0	0	2	1	0	0	3	0	1	1	0	0	0
ENSMUSG00000002028	5558	6178	1978	2668	2646	910	928	1320	2013	2118	1869	2686	2690	2670	3325
ENSMUSG00000002031	2246	2768	1957	1801	1905	2202	2515	3151	2378	2384	2084	2468	3713	2009	2771
ENSMUSG00000002032	0	9	0	18	18	21	41	51	52	76	35	41	97	52	59
ENSMUSG00000002033	55967	65903	50534	41729	43589	40597	41490	59008	49479	78862	52310	72090	100677	84181	126722
ENSMUSG00000002043	807	988	859	886	824	866	610	929	633	714	732	480	932	627	707
ENSMUSG00000002052	2848	3017	1706	1739	1933	1073	1144	1299	1602	1490	1130	1238	2181	1583	1867
ENSMUSG00000002055	25	22	3	569	694	1433	1367	1556	1470	173	244	141	630	317	818
ENSMUSG00000002057	0	0	0	2	0	1	0	0	1	0	2	0	0	0	4
ENSMUSG00000002058	54	36	27	388	421	273	196	270	270	334	561	308	726	508	731
ENSMUSG00000002059	0	0	0	10	4	7	8	12	1	5	11	0	0	0	6
ENSMUSG00000002064	3360	3602	2151	4161	4723	4516	2409	3521	3135	3122	3065	2774	4382	2714	3921
ENSMUSG00000002068	203	320	214	464	475	489	569	547	665	217	250	202	293	268	321
ENSMUSG00000002076	5	8	4	0	0	1	14	18	14	3	13	5	0	0	11
ENSMUSG00000002083	11	14	11	28	16	12	13	17	19	18	37	16	37	32	42
ENSMUSG00000002100	8	8	4	2	2	4	0	6	6	0	8	1	11	1	0
ENSMUSG00000002102	7702	6944	5842	7977	8786	11032	9484	11932	8688	7655	6883	7513	10684	7083	10232
ENSMUSG00000002103	578	913	337	621	741	449	655	854	599	627	1428	1159	1698	627	1458
ENSMUSG00000002104	6	8	1	25	49	72	46	61	34	289	170	203	281	290	313
ENSMUSG00000002105	470	500	302	219	244	157	203	273	311	454	404	300	757	370	530
ENSMUSG00000002107	16530	22321	8962	13418	13482	6615	8553	10757	12943	6153	5798	8372	8276	8369	12266
ENSMUSG00000002108	146	69	64	414	390	248	198	186	167	433	1262	469	890	302	1049
ENSMUSG00000002109	1536	2267	1145	1279	1302	817	535	657	693	809	706	982	1471	976	1082
ENSMUSG00000002111	37	16	17	132	156	71	307	379	298	136	1742	214	976	144	1098
ENSMUSG00000002129	4793	4736	3797	3689	4231	4538	4719	5769	5002	3286	2451	2193	5015	3642	3567
ENSMUSG00000002147	14779	13479	11031	9224	10797	9465	5936	8179	7153	6025	5832	4975	10857	6010	5889
ENSMUSG00000002190	6	0	8	0	14	5	14	14	10	66	60	26	382	127	142
ENSMUSG00000002204	81	18	18	410	494	330	819	1238	754	2384	4659	3290	7053	2767	5220
ENSMUSG00000002205	4958	4942	4148	5962	6963	8361	2835	3861	2826	2922	2576	2780	4451	2441	3687
ENSMUSG00000002210	1633	1951	1553	1709	1702	1404	745	872	821	482	629	236	705	567	745
ENSMUSG00000002221	444	609	318	396	397	309	426	472	505	263	258	308	420	277	465
ENSMUSG00000002222	1734	1930	957	1278	1070	485	610	740	999	613	639	1273	1144	2173	893
ENSMUSG00000002227	2177	1799	1385	1574	1773	1465	894	1505	1137	1315	1126	740	1840	1237	1221
ENSMUSG00000002228	34	57	41	1237	1527	1465	549	780	673	1347	963	956	1922	1273	1157
ENSMUSG00000002233	34	9	3	375	493	460	226	402	295	917	876	1016	1279	854	938
ENSMUSG00000002240	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000002249	0	0	0	0	0	0	0	0	1	0	2	2	0	1	0
ENSMUSG00000002250	120	104	54	52	54	41	36	43	66	94	93	74	101	101	129
ENSMUSG00000002257	1666	1933	1502	2470	2026	2142	1094	1186	1095	1572	1405	833	1395	1682	2182
ENSMUSG00000002265	0	0	0	0	0	0	1	0	0	1	0	1	1	0	0
ENSMUSG00000002266	0	0	0	0	0	0	0	1	1	0	0	1	0	0	0
ENSMUSG00000002274	86	96	134	120	123	192	247	312	213	200	198	41	160	163	272
ENSMUSG00000002279	1162	1185	803	952	1125	1100	771	1127	827	880	831	1031	1346	997	987
ENSMUSG00000002280	1072	1460	879	1071	1306	1294	608	911	686	766	798	651	1277	893	970
ENSMUSG00000002289	198	193	192	384	403	331	566	620	406	259	268	206	523	359	457
ENSMUSG00000002297	560	433	240	1339	1308	805	1205	1508	1854	402	327	359	392	535	987
ENSMUSG00000002307	8397	7228	6349	5652	6064	5682	3763	5288	4095	2443	2679	1717	3723	2924	3007
ENSMUSG00000002308	371	294	296	345	343	432	502	698	549	166	193	141	229	221	205
ENSMUSG00000002319	514	584	520	256	254	188	542	674	546	227	243	179	257	268	245
ENSMUSG00000002320	1487	1686	1225	1712	1580	1635	1194	1519	1255	1216	1145	927	1872	1348	1719
ENSMUSG00000002324	5	16	4	4	11	6	0	5	5	0	5	3	3	4	0
ENSMUSG00000002325	9707	8778	6452	7251	7915	7556	3785	5206	4823	3217	4708	4299	6446	3207	5537
ENSMUSG00000002326	522	656	370	395	360	349	294	357	322	205	287	366	390	290	363
ENSMUSG00000002329	3441	4598	2997	4928	5200	4261	2120	2762	2342	2586	2500	2597	3420	2702	3626
ENSMUSG00000002332	1247	1682	1203	3280	4089	4610	1616	2433	1661	1171	1824	1319	2941	1169	1983
ENSMUSG00000002341	10	0	0	7	0	2	0	1	5	0	0	0	1	1	0
ENSMUSG00000002342	1338	1520	1127	1450	1774	1463	1089	1358	1021	940	678	465	1357	859	658
ENSMUSG00000002343	542	512	350	437	529	759	697	750	658	316	246	197	380	290	329
ENSMUSG00000002345	1180	1091	871	1549	1701	2046	1133	1517	1233	1448	1327	1133	1665	1317	1733
ENSMUSG00000002346	348	373	261	87	96	72	308	342	398	172	121	130	193	184	173
ENSMUSG00000002365	20	22	12	63	75	33	216	326	315	254	538	522	465	325	640
ENSMUSG00000002372	3818	4043	3219	3341	3814	3816	2731	3296	2766	2673	2373	1450	3850	2893	3566
ENSMUSG00000002379	2140	2202	1879	2548	2479	3694	2528	3465	2414	2253	2273	2223	3129	1972	2872
ENSMUSG00000002384	1	6	0	1	2	1	1	0	5	1	3	0	10	15	1
ENSMUSG00000002393	3	3	1	2	7	3	3	5	9	16	21	7	17	11	10
ENSMUSG00000002395	7629	8374	7552	7913	8411	6569	3834	5829	4876	8263	8296	7644	9989	7347	7871
ENSMUSG00000002396	183	239	144	206	219	190	111	137	129	130	158	81	153	167	221
ENSMUSG00000002409	67	66	90	143	101	72	22	38	50	88	59	20	73	83	47
ENSMUSG00000002413	2162	3484	1044	1413	1309	345	324	430	760	488	418	976	884	691	914
ENSMUSG00000002416	296	324	195	238	214	263	190	276	249	180	251	154	261	214	299
ENSMUSG00000002428	3103	4056	1446	2957	3145	1239	1124	1621	2445	1455	923	2255	1566	1714	2445
ENSMUSG00000002455	6613	7094	4736	4330	5460	3665	3393	4369	3683	3906	3394	2582	6332	4002	5092
ENSMUSG00000002458	8410	7587	7201	8759	9370	8581	4394	5619	4440	4293	4216	4019	5276	4343	5747
ENSMUSG00000002459	2	0	1	0	0	0	0	0	0	0	0	0	0	1	1
ENSMUSG00000002475	1	0	0	1	3	3	0	6	0	1	7	5	15	11	15
ENSMUSG00000002477	2204	2215	1942	2292	2621	4344	6400	7653	5971	2243	2539	1942	3139	2551	4027
ENSMUSG00000002486	151	185	101	139	125	98	75	91	99	188	173	122	201	178	230
ENSMUSG00000002489	162	174	58	24	33	32	298	350	379	98	181	131	212	13	78
ENSMUSG00000002496	1238	1098	887	971	1093	935	610	672	703	813	695	449	1505	921	1042
ENSMUSG00000002500	4	3	3	3	1	3	1	7	5	6	35	15	12	0	27
ENSMUSG00000002504	1	0	0	9	5	0	6	0	4	96	63	93	140	83	133
ENSMUSG00000002524	11329	11266	9468	11340	12420	14525	10004	13401	9651	11144	8169	5758	14190	10027	12044
ENSMUSG00000002546	766	843	592	682	664	470	420	534	554	744	477	449	928	804	778
ENSMUSG00000002550	1139	1215	1031	1228	1395	1561	1029	1444	980	931	871	549	1397	1081	1300
ENSMUSG00000002565	4	0	0	0	7	2	5	1	5	11	75	11	16	0	5
ENSMUSG00000002578	183	231	166	32	38	18	34	48	33	1050	633	747	1265	788	951
ENSMUSG00000002580	866	750	638	937	1016	1675	732	940	701	926	861	692	945	721	936
ENSMUSG00000002588	0	0	0	0	0	0	0	0	0	11	0	10	5	0	2
ENSMUSG00000002602	543	532	352	1103	1225	911	652	779	615	393	1881	533	1701	409	1424
ENSMUSG00000002603	155	158	99	100	117	82	104	116	126	75	171	53	173	84	231
ENSMUSG00000002608	2979	2784	2540	2503	2612	2329	1465	1678	1529	2637	1803	1101	2823	2148	2209
ENSMUSG00000002617	310	731	201	288	292	73	105	124	204	117	43	175	156	140	179
ENSMUSG00000002625	1837	2274	1031	953	949	524	399	667	644	1321	998	439	1140	1293	1502
ENSMUSG00000002633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002635	1011	953	837	918	946	972	850	1062	816	809	932	634	1028	748	1106
ENSMUSG00000002658	3081	3459	2493	2579	2917	3151	3079	3792	3087	2974	2585	1977	3897	2846	3872
ENSMUSG00000002660	2041	2413	1756	1426	1410	1490	1766	2276	1800	1750	1526	1841	2018	1390	1923
ENSMUSG00000002661	564	481	459	544	485	756	466	682	519	521	411	379	660	430	566
ENSMUSG00000002664	16	12	5	4	3	3	10	10	5	4	0	0	6	4	4
ENSMUSG00000002668	6852	9910	5180	7821	9117	6811	3665	5404	4517	5086	4338	4119	7224	5437	6438
ENSMUSG00000002679	1099	1098	690	975	984	684	549	787	649	774	770	859	1085	658	1062
ENSMUSG00000002688	0	0	0	0	1	0	0	0	0	0	4	0	0	0	1
ENSMUSG00000002699	22576	24772	16439	22536	24942	19147	16409	20264	17246	21225	15782	22334	28145	21007	28388
ENSMUSG00000002718	4818	5285	2555	3511	3903	2714	5071	5551	6660	1844	1827	2783	2553	2442	3587
ENSMUSG00000002728	2024	2375	1554	2729	2774	2459	4014	5418	4473	2696	2607	3110	3422	2845	3429
ENSMUSG00000002731	170	119	124	271	286	262	161	296	168	662	789	539	910	851	1234
ENSMUSG00000002732	92	110	85	66	59	40	36	57	43	63	85	75	90	40	85
ENSMUSG00000002733	452	660	290	394	366	190	193	229	244	364	368	556	414	393	554
ENSMUSG00000002741	1912	1614	1404	2931	2783	2850	1813	2287	1949	1305	1493	925	1923	1499	1615
ENSMUSG00000002748	1887	2409	892	1229	1442	824	1301	1510	1903	1127	1231	1361	1409	1365	1983
ENSMUSG00000002763	280	290	192	164	180	182	298	352	355	482	473	417	567	455	510
ENSMUSG00000002767	1431	1589	1511	1513	1683	1891	1991	2447	1713	1483	939	1197	1980	1402	935
ENSMUSG00000002768	2305	2033	1803	2819	3028	3867	2453	3388	2552	4136	3621	4745	4986	3477	4290
ENSMUSG00000002769	23	46	5	2	11	1	5	14	13	82	55	29	21	17	49
ENSMUSG00000002771	10	10	3	1	3	7	1	0	3	0	1	6	2	3	7
ENSMUSG00000002778	1276	508	860	1303	892	1279	943	1242	1226	659	1120	654	464	1025	1122
ENSMUSG00000002781	165	264	182	151	116	219	133	201	132	83	76	74	117	100	162
ENSMUSG00000002791	9	28	2	18	3	7	15	5	12	10	2	21	4	11	4
ENSMUSG00000002797	657	906	573	1248	1330	968	645	932	865	1271	1145	900	1332	1049	1935
ENSMUSG00000002799	37	31	34	9	5	2	9	10	11	18	18	7	40	29	95
ENSMUSG00000002803	462	346	416	393	285	355	254	303	353	243	233	202	423	352	376
ENSMUSG00000002804	808	830	685	937	1018	1427	834	1270	885	562	694	429	1029	374	606
ENSMUSG00000002808	9	2	7	5	48	7	95	98	92	1175	1253	1367	1352	1425	1095
ENSMUSG00000002812	3367	3466	3159	4826	4957	5059	2873	3653	3190	2526	2505	1120	3988	2716	3059
ENSMUSG00000002814	1511	1496	1150	797	1037	667	663	672	613	534	503	416	1000	470	772
ENSMUSG00000002820	1300	1905	1175	1592	1610	1837	497	682	651	924	835	509	1103	995	1281
ENSMUSG00000002825	1899	2263	1860	1415	1453	1347	993	1331	1050	739	480	759	925	488	782
ENSMUSG00000002831	0	3	4	1	1	1	0	1	0	0	1	1	1	0	7
ENSMUSG00000002833	1808	2049	1709	1329	1367	1318	1313	1622	1350	1270	927	334	1217	1465	1287
ENSMUSG00000002835	13	17	6	46	61	149	251	257	208	60	64	38	115	100	128
ENSMUSG00000002844	3832	3646	3049	5661	7028	8174	5200	6253	4498	4845	4410	3017	7379	4567	5677
ENSMUSG00000002845	1122	1102	787	753	844	902	834	1004	857	833	672	726	1164	713	1113
ENSMUSG00000002846	776	970	655	629	641	842	575	741	703	497	499	746	729	533	836
ENSMUSG00000002847	1	5	3	31	30	15	54	76	63	10	12	6	19	10	10
ENSMUSG00000002870	2193	1892	1866	1803	2124	4917	6981	8171	6373	1778	2089	1125	3228	2724	3378
ENSMUSG00000002871	1957	2189	1702	1630	1689	1355	1013	1493	1213	1688	1431	1564	2521	1605	1747
ENSMUSG00000002881	1118	1133	462	1413	1302	455	1080	1324	1920	600	574	807	961	901	1113
ENSMUSG00000002885	8328	8743	6130	14755	17591	13498	4177	5564	4461	9395	9415	7418	18280	12646	13578
ENSMUSG00000002897	5669	4767	4177	4145	3430	2635	1002	1471	1670	516	1170	562	1480	664	1086
ENSMUSG00000002900	9	3	0	1	0	0	15	11	11	0	9	4	13	1	1
ENSMUSG00000002908	0	0	0	3	1	2	0	0	0	2	0	1	0	0	0
ENSMUSG00000002910	84	87	83	79	89	73	25	27	15	64	80	43	96	85	109
ENSMUSG00000002930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002944	49	50	17	253	359	147	114	226	133	264	1212	1083	2020	317	1881
ENSMUSG00000002948	1109	1070	843	814	785	555	443	517	602	584	509	305	696	694	579
ENSMUSG00000002949	3302	3777	2311	3305	3318	1965	2683	3596	3039	1727	1575	1938	2879	2061	2400
ENSMUSG00000002957	1482	1463	1083	1230	1261	1149	802	927	927	856	1202	871	1481	1003	1531
ENSMUSG00000002963	1780	2332	1976	2444	2611	2907	1692	2262	1422	2080	2008	1553	2610	1641	2338
ENSMUSG00000002968	847	838	943	962	801	742	703	853	839	670	566	216	680	863	704
ENSMUSG00000002980	3	1	4	3	4	10	31	21	18	5	16	7	4	0	5
ENSMUSG00000002981	2141	1425	1818	2088	1891	2323	1860	2189	1891	2143	1900	440	1910	2304	2494
ENSMUSG00000002983	567	453	390	253	211	173	223	273	329	415	524	218	799	299	467
ENSMUSG00000002984	193	295	244	237	141	118	203	261	400	147	167	78	212	319	260
ENSMUSG00000002985	757	427	510	1936	3032	1022	763	1536	806	6392	35669	6178	25364	7845	33212
ENSMUSG00000002992	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0
ENSMUSG00000002996	6599	6741	4019	4110	4224	1872	924	1589	1739	2480	2319	3431	4251	2708	3043
ENSMUSG00000002997	52	65	33	49	52	27	32	35	30	13	39	32	39	17	43
ENSMUSG00000003031	4555	4599	2784	3553	3826	1910	763	1265	1561	1660	1502	2085	3170	2236	2948
ENSMUSG00000003032	4	7	6	17	6	1	75	78	73	41	327	195	416	28	401
ENSMUSG00000003033	8824	8763	8068	9331	10857	13752	6497	8097	6260	4799	4604	4274	7538	4815	5651
ENSMUSG00000003037	19203	17526	13962	21606	25563	24234	10705	14108	9989	16952	11570	18505	23948	14675	15205
ENSMUSG00000003038	3939	4218	3026	4905	5629	11523	12760	14950	11414	3722	3937	3876	7438	4337	9255
ENSMUSG00000003039	8637	8092	5819	9664	10241	9764	4266	5711	4635	7623	7442	8767	10397	6167	9229
ENSMUSG00000003051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000003053	5	0	0	0	0	0	0	0	0	1	0	0	2	0	0
ENSMUSG00000003062	1300	1236	1121	1903	2000	2335	2413	3080	2497	4920	4640	6478	6340	5118	7554
ENSMUSG00000003068	480	468	287	355	352	269	303	434	410	506	568	656	645	514	834
ENSMUSG00000003070	14	14	3	1	4	0	2	1	4	0	1	0	6	4	1
ENSMUSG00000003072	8315	7422	7732	10580	11742	14910	10258	13941	10296	8511	8912	5276	10973	9104	10216
ENSMUSG00000003099	1924	2339	1894	2102	2204	2440	2722	3207	2578	1624	1630	800	2011	1881	2069
ENSMUSG00000003119	1444	1844	684	894	849	314	347	450	624	492	553	830	828	759	1045
ENSMUSG00000003123	273	304	224	189	169	121	100	127	82	153	308	127	339	159	261
ENSMUSG00000003131	3828	3443	2405	2832	3041	2485	2178	2774	2783	2614	2525	2264	3810	3065	4160
ENSMUSG00000003134	141	67	64	43	50	18	59	90	92	24	256	141	220	58	270
ENSMUSG00000003135	146	128	84	120	113	88	109	175	139	154	193	201	244	258	363
ENSMUSG00000003153	3995	3870	2395	5864	7152	6781	1319	1660	1304	2451	2754	3289	6523	3295	5216
ENSMUSG00000003154	677	540	402	388	352	204	137	218	252	359	337	396	454	327	389
ENSMUSG00000003161	14419	14177	11353	19466	19248	18625	14198	19425	16668	16395	15393	16130	21723	16962	22121
ENSMUSG00000003166	1317	1083	939	888	974	846	614	811	772	969	777	658	1260	819	823
ENSMUSG00000003184	2925	3275	2190	2595	2584	3085	1643	2229	1826	2127	1655	1312	2077	1806	2154
ENSMUSG00000003190	293	463	296	319	326	435	431	495	347	356	294	279	376	244	390
ENSMUSG00000003198	1079	1303	471	1302	1093	422	413	538	871	330	278	407	313	464	514
ENSMUSG00000003199	672	935	957	1039	1020	905	401	518	556	232	356	186	459	420	427
ENSMUSG00000003200	8328	8383	6872	5769	5543	5183	2230	2909	2271	2831	2214	1697	2844	3287	3133
ENSMUSG00000003206	11	3	3	36	42	41	26	49	27	16	307	120	295	25	288
ENSMUSG00000003208	1341	1896	1118	1006	990	1143	646	761	707	687	632	438	929	733	948
ENSMUSG00000003226	2375	3389	981	1502	1643	359	678	758	1537	621	632	797	896	623	1348
ENSMUSG00000003227	3	1	0	0	0	2	0	0	0	0	0	0	1	0	0
ENSMUSG00000003228	88	82	72	115	93	65	68	84	79	148	243	227	455	199	394
ENSMUSG00000003233	1113	1479	595	796	852	442	388	515	558	759	571	1133	1164	805	947
ENSMUSG00000003234	3417	4151	2857	1915	2675	2393	1489	2199	1575	2698	1552	2107	4024	1874	1991
ENSMUSG00000003235	676	787	855	940	832	824	746	860	872	650	551	457	1014	754	740
ENSMUSG00000003269	879	724	558	743	775	859	482	613	590	490	463	190	719	454	611
ENSMUSG00000003271	71	98	51	80	49	56	178	224	177	1392	703	1316	1270	1206	1745
ENSMUSG00000003273	4	5	1	0	0	0	0	0	0	3	0	0	4	0	0
ENSMUSG00000003279	1	6	1	1	2	8	0	4	1	1	5	5	3	1	3
ENSMUSG00000003282	107	83	30	34	31	10	28	23	17	6	8	44	21	17	33
ENSMUSG00000003283	145	48	19	407	288	258	696	953	574	226	3096	745	2009	221	1995
ENSMUSG00000003299	3187	3605	2730	5042	5806	6850	4785	6035	4378	4999	4865	5185	6483	4301	5988
ENSMUSG00000003308	1640	1543	1539	1863	2043	1903	1259	1635	1216	1012	875	514	1315	1083	915
ENSMUSG00000003309	160	130	87	46	65	65	106	164	106	55	60	44	101	50	46
ENSMUSG00000003316	3648	2972	2001	2940	2696	1359	1628	2067	2689	1775	1733	1540	2280	1967	2505
ENSMUSG00000003341	2	2	0	0	0	4	0	2	4	7	4	0	4	0	1
ENSMUSG00000003344	257	255	176	181	136	114	130	186	177	264	188	207	266	254	269
ENSMUSG00000003345	545	544	574	461	422	437	360	454	488	506	425	308	574	513	449
ENSMUSG00000003346	214	185	275	340	297	314	284	337	371	279	461	213	394	391	558
ENSMUSG00000003348	17817	20107	14776	17084	20073	21951	8526	11333	9152	16749	13060	21747	30241	18079	20581
ENSMUSG00000003352	8	16	10	26	35	34	1	1	4	0	13	7	13	0	0
ENSMUSG00000003354	7	2	0	0	0	1	0	3	0	1	4	1	5	0	0
ENSMUSG00000003355	7	5	6	44	48	52	21	39	18	11	17	7	24	4	17
ENSMUSG00000003360	667	896	486	507	613	422	300	410	416	409	431	380	534	350	627
ENSMUSG00000003363	24860	25612	20690	19804	23805	23097	13060	19353	14789	14966	9004	13763	19556	10672	14549
ENSMUSG00000003378	7	22	11	0	5	2	11	5	12	7	13	4	10	9	12
ENSMUSG00000003379	417	275	118	1074	1249	1760	120	130	139	1504	1855	1326	2802	940	658
